source_cui,target_cui
C0008520,C0423449
C0008520,C0423447
C0008520,C0423450
C0008520,C0423448
C0008520,C0344296
C0008520,C0344297
C0008520,C0344297
C0008520,C0346388
C0008520,C0346391
C0008520,C0346392
C0008520,C0346393
C0008520,C0008512
C0008520,C0008513
C0008520,C0008522
C0008520,C0008525
C0008520,C0008526
C0008520,C0339383
C0008520,C0339392
C0008520,C0339391
C0008520,C0339393
C0008520,C0339394
C0008520,C0339398
C0008520,C0339397
C0008520,C0339409
C0008520,C0339410
C0008520,C0339411
C0008520,C0339411
C0008520,C0339415
C0008520,C0339417
C0008520,C0339413
C0008520,C0339420
C0008520,C0339421
C0008520,C0339427
C0008520,C0339428
C0008520,C0339429
C0008520,C0339433
C0008520,C0339434
C0008520,C0271029
C0008520,C0271027
C0008520,C0271024
C0008520,C0271034
C0008520,C0271030
C0008520,C0271031
C0008520,C0271032
C0008520,C0271033
C0008520,C0271035
C0008520,C0271044
C0008520,C0271045
C0008520,C0271042
C0008520,C0271043
C0008520,C0238057
C0008520,C0275944
C0008520,C0239054
C0008520,C0276801
C0008520,C0153145
C0008520,C0153170
C0008520,C0153308
C0008520,C0346289
C0008520,C0162279
C0008520,C0158566
C0008520,C0002983
C0008520,C0154870
C0008520,C0154871
C0008520,C0154877
C0008520,C0154879
C0008520,C0154882
C0008520,C0154881
C0008520,C0154883
C0008520,C0154891
C0008520,C0154892
C0008520,C0154892
C0008520,C0154893
C0008520,C0154895
C0008520,C0154896
C0008520,C0154901
C0008520,C0154902
C0008520,C0154903
C0008520,C0154904
C0008520,C0154905
C0008520,C5559685
C0008520,C5767485
C0008520,C5567920
C0008520,C5545384
C0008520,C5437194
C0008520,C5688490
C0008520,C5554260
C0008520,C5396737
C0008520,C5396740
C0008520,C5396738
C0008520,C5396742
C0008520,C4708599
C0008520,C4544052
C0008520,C3665438
C0008520,C3840036
C0008520,C3840045
C0008520,C3840053
C0008520,C3840052
C0008520,C4048273
C0008520,C3697604
C0008520,C3697876
C0008520,C3698400
C0011884,C1963886
C0011884,C1963886
C0011884,C1963886
C0011884,C1963886
C0011884,C1963886
C0011884,C1963886
C0011884,C1963886
C0011884,C1610634
C0011884,C1610634
C0011884,C1610634
C0011884,C1610634
C0011884,C1610634
C0011884,C1610634
C0011884,C0856791
C0011884,C0339471
C0011884,C0856791
C0011884,C0856791
C0011884,C0856791
C0011884,C0856791
C0011884,C0856791
C0011884,C0856791
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0857406
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0011884
C0011884,C0339471
C0011884,C0339471
C0011884,C0339471
C0011884,C0339471
C0011884,C0339471
C0011884,C0339473
C0011884,C0339471
C0011884,C0339471
C0011884,C0339473
C0011884,C0339473
C0011884,C0339473
C0011884,C0339473
C0011884,C0339471
C0011884,C0339471
C0011884,C0271064
C0011884,C0271064
C0011884,C0271064
C0011884,C0271064
C0011884,C0271064
C0011884,C0271064
C0011884,C0271064
C0011884,C0205481
C0011884,C0154830
C0011884,C0154830
C0011884,C0154830
C0011884,C0154830
C0011884,
C0011884,
C0011884,C0154830
C0011884,
C0011884,C0154830
C0011884,C0154831
C0011884,
C0011884,C0004606
C0011884,C0730276
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004606
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0004608
C0011884,C0035309
C0011884,C0035309
C0011884,C4761147
C0011884,C4761147
C0011884,C4761147
C0011884,C4761147
C0011884,C4761147
C0024437,C0015397
C0242383,C0809995
C0242383,C0450295
C0242383,C0339438
C0242383,C0242383
C0242383,C0242383
C0865511,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0865511
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0242383,C0242383
C0024437,C0035309
C0865511,C0024437
C0242383,C0024437
C0242383,
C2026318,C0809995
C0730328,C2026318
C0730328,C0730328
C2026318,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
